"sourcekey" "targetkey" "lei_xing" "pk"
"DUI_XIANG:110113188012274157" "DUI_XIANG:654021194504154316" "同乡" "1"
"DUI_XIANG:110113188012285446" "DUI_XIANG:654021193909092120" "好友" "2"
"DUI_XIANG:11011318870618659X" "DUI_XIANG:654021193402236834" "好友" "3"
"DUI_XIANG:110113189102077346" "DUI_XIANG:654021192510223489" "好友" "4"
"DUI_XIANG:110113189301247520" "DUI_XIANG:654021192312178779" "好友" "5"
"DUI_XIANG:110113189412154255" "DUI_XIANG:654021192101295692" "同事" "6"
"DUI_XIANG:110113189611289857" "DUI_XIANG:654021191605198445" "合作关系" "7"
"DUI_XIANG:110113191605128523" "DUI_XIANG:654021188706245047" "好友" "8"
"DUI_XIANG:110113192510244905" "DUI_XIANG:654021188706186358" "好友" "9"
"DUI_XIANG:110113192807206627" "DUI_XIANG:65402118860731430X" "好友" "10"
"DUI_XIANG:110113193203145717" "DUI_XIANG:654021188508118573" "好友" "11"
"DUI_XIANG:110113193302041489" "DUI_XIANG:653200194703299671" "好友" "12"
"DUI_XIANG:120223188805082278" "DUI_XIANG:653200194108262508" "好友" "13"
"DUI_XIANG:120223189809057605" "DUI_XIANG:653200193910159829" "好友" "14"
"DUI_XIANG:120223190403052001" "DUI_XIANG:653200193810206595" "好友" "15"
"DUI_XIANG:120223190812319942" "DUI_XIANG:653200192906184605" "合作关系" "16"
"DUI_XIANG:120223191803229149" "DUI_XIANG:653200191803287455" "好友" "17"
"DUI_XIANG:120223192112248767" "DUI_XIANG:653200191705128370" "同校" "18"
"DUI_XIANG:12022319250921248X" "DUI_XIANG:653200191110077383" "同伙" "19"
"DUI_XIANG:120223192609106545" "DUI_XIANG:653200190701185760" "好友" "20"
"DUI_XIANG:120223192807231531" "DUI_XIANG:653200188805138122" "好友" "21"
"DUI_XIANG:120223192906102911" "DUI_XIANG:653200188012296489" "好友" "22"
"DUI_XIANG:120223193005295757" "DUI_XIANG:653128194406294533" "同伙" "23"
"DUI_XIANG:120223194901056185" "DUI_XIANG:653128194208193328" "好友" "24"
"DUI_XIANG:130403188210294455" "DUI_XIANG:653128193811221886" "好友" "25"
"DUI_XIANG:130403188706163846" "DUI_XIANG:653128193204216276" "好友" "26"
"DUI_XIANG:130403191406257020" "DUI_XIANG:653128193204181931" "好友" "27"
"DUI_XIANG:130403191506234694" "DUI_XIANG:653128193105034063" "合作关系" "28"
"DUI_XIANG:130403191704046985" "DUI_XIANG:653128192708117605" "好友" "29"
"DUI_XIANG:130403192806173090" "DUI_XIANG:653128192609209889" "同学" "30"
"DUI_XIANG:130403193104167993" "DUI_XIANG:653128192312156421" "好友" "31"
"DUI_XIANG:130403194405143180" "DUI_XIANG:653128192201307039" "好友" "32"
"DUI_XIANG:411081189406282739" "DUI_XIANG:653128191705142173" "同校" "33"
"DUI_XIANG:130403194901045598" "DUI_XIANG:653128191209021591" "好友" "34"
"DUI_XIANG:130425188606186176" "DUI_XIANG:653128191209021217" "好友" "35"
"DUI_XIANG:130425189312155061" "DUI_XIANG:653128190602282785" "同学" "36"
"DUI_XIANG:130425189511303477" "DUI_XIANG:653128190305258404" "好友" "37"
"DUI_XIANG:130425189709068978" "DUI_XIANG:653128189809116786" "合作关系" "38"
"DUI_XIANG:130425189907182368" "DUI_XIANG:65312818951209626X" "同事" "39"
"DUI_XIANG:130425191009307387" "DUI_XIANG:653128189412155058" "同校" "40"
"DUI_XIANG:130425191109274113" "DUI_XIANG:653128189202066006" "好友" "41"
"DUI_XIANG:130425193104167756" "DUI_XIANG:653128188310017354" "好友" "42"
"DUI_XIANG:130425193611302481" "DUI_XIANG:653128188210099516" "好友" "43"
"DUI_XIANG:130425193810114109" "DUI_XIANG:653123194902163813" "好友" "44"
"DUI_XIANG:130425194702138132" "DUI_XIANG:653123193303156588" "好友" "45"
"DUI_XIANG:130433189102042333" "DUI_XIANG:653123193204252750" "好友" "46"
"DUI_XIANG:130433189907169462" "DUI_XIANG:653123192609198735" "好友" "47"
"DUI_XIANG:130433190811217309" "DUI_XIANG:653123189611085150" "亲属" "48"
"DUI_XIANG:130433191505139298" "DUI_XIANG:653123188112308642" "好友" "49"
"DUI_XIANG:13043319150518577X" "DUI_XIANG:653123188001092295" "同校" "50"
"DUI_XIANG:130433191604024509" "DUI_XIANG:653121192609224080" "好友" "51"
"DUI_XIANG:130433191704276682" "DUI_XIANG:653121192101055538" "好友" "52"
"DUI_XIANG:130433192310292318" "DUI_XIANG:653121191904025223" "好友" "53"
"DUI_XIANG:130433193809067878" "DUI_XIANG:65312119140814416X" "好友" "54"
"DUI_XIANG:130433194305212167" "DUI_XIANG:653121189512188477" "好友" "55"
"DUI_XIANG:130433194603277575" "DUI_XIANG:653121189512144124" "好友" "56"
"DUI_XIANG:130731188011157839" "DUI_XIANG:653121189401224244" "好友" "57"
"DUI_XIANG:130731188407025285" "DUI_XIANG:653121189401214011" "好友" "58"
"DUI_XIANG:130731188705067408" "DUI_XIANG:653121189005071434" "好友" "59"
"DUI_XIANG:130731188804309142" "DUI_XIANG:653022194704096515" "合作关系" "60"
"DUI_XIANG:130731188805023111" "DUI_XIANG:653022193811303677" "亲属" "61"
"DUI_XIANG:13073118951126693X" "DUI_XIANG:653022192709177163" "好友" "62"
"DUI_XIANG:130731189808252504" "DUI_XIANG:653022191210103160" "好友" "63"
"DUI_XIANG:13073119020413330X" "DUI_XIANG:653022190702269795" "好友" "64"
"DUI_XIANG:130731191207074151" "DUI_XIANG:653022190603075020" "好友" "65"
"DUI_XIANG:13073119130626847X" "DUI_XIANG:653022189612119103" "好友" "66"
"DUI_XIANG:130731192707242363" "DUI_XIANG:653022188707063128" "好友" "68"
"DUI_XIANG:130731193611207074" "DUI_XIANG:653000194506029639" "好友" "69"
"DUI_XIANG:130731194305199242" "DUI_XIANG:653000193811303214" "亲属" "70"
"DUI_XIANG:131000188209176662" "DUI_XIANG:653000192102162530" "好友" "71"
"DUI_XIANG:131000188209191061" "DUI_XIANG:653000190702272574" "好友" "72"
"DUI_XIANG:131000189510243304" "DUI_XIANG:65300019020715911X" "好友" "73"
"DUI_XIANG:131000189906087715" "DUI_XIANG:653000189104276374" "好友" "74"
"DUI_XIANG:131000192707206352" "DUI_XIANG:652901192411156868" "好友" "75"
"DUI_XIANG:131000194404061773" "DUI_XIANG:652901192202081337" "好友" "76"
"DUI_XIANG:131000194602174592" "DUI_XIANG:65290118981024450X" "好友" "77"
"DUI_XIANG:131023189101224289" "DUI_XIANG:65290118971106292X" "好友" "78"
"DUI_XIANG:13102318960908263X" "DUI_XIANG:652901189104299087" "好友" "79"
"DUI_XIANG:131023190005305626" "DUI_XIANG:652901188608143516" "好友" "80"
"DUI_XIANG:131023190204133329" "DUI_XIANG:652901188101034660" "好友" "81"
"DUI_XIANG:131023191207085240" "DUI_XIANG:652901188002164494" "好友" "82"
"DUI_XIANG:131023192508046944" "DUI_XIANG:652300194011244914" "好友" "83"
"DUI_XIANG:131023192806056147" "DUI_XIANG:652300193812048863" "同事" "84"
"DUI_XIANG:131023193103075362" "DUI_XIANG:652300192907301601" "好友" "85"
"DUI_XIANG:131023193202237742" "DUI_XIANG:652300192809142707" "同学" "86"
"DUI_XIANG:131023194602163564" "DUI_XIANG:652300192003312447" "好友" "87"
"DUI_XIANG:131024188010028364" "DUI_XIANG:652300192003309889" "亲属" "88"
"DUI_XIANG:131024188110293384" "DUI_XIANG:652300191905139327" "好友" "89"
"DUI_XIANG:131024189311292243" "DUI_XIANG:652300191904095449" "好友" "90"
"DUI_XIANG:131024190501104942" "DUI_XIANG:652300191706027509" "好友" "91"
"DUI_XIANG:131024191009203716" "DUI_XIANG:652300191112298651" "好友" "92"
"DUI_XIANG:131024191207051450" "DUI_XIANG:652300190901163544" "好友" "93"
